patch_id,row,col,lon,lat
313,14,5,-61.08543932012745,-16.843411577241028
314,14,6,-60.18712403600793,-16.843411577241028
315,14,7,-59.28880875188841,-16.843411577241028
316,14,8,-58.390493467768884,-16.843411577241028
317,14,9,-57.492178183649365,-16.843411577241028
318,14,10,-56.593862899529846,-16.843411577241028
319,14,11,-55.69554761541032,-16.843411577241028
320,14,12,-54.7972323312908,-16.843411577241028
321,14,13,-53.89891704717128,-16.843411577241028
322,14,14,-53.00060176305176,-16.843411577241028
323,14,15,-52.102286478932236,-16.843411577241028
324,14,16,-51.203971194812716,-16.843411577241028
325,14,17,-50.30565591069319,-16.843411577241028
326,14,18,-49.40734062657367,-16.843411577241028
327,14,19,-48.50902534245415,-16.843411577241028
328,14,20,-47.61071005833463,-16.843411577241028
329,14,21,-46.71239477421511,-16.843411577241028
330,15,0,-65.57701574072506,-17.74172686136055
331,15,1,-64.67870045660554,-17.74172686136055
332,15,2,-63.780385172486014,-17.74172686136055
333,15,3,-62.882069888366495,-17.74172686136055
334,15,4,-61.983754604246975,-17.74172686136055
335,15,5,-61.08543932012745,-17.74172686136055
336,15,6,-60.18712403600793,-17.74172686136055
337,15,7,-59.28880875188841,-17.74172686136055
338,15,8,-58.390493467768884,-17.74172686136055
339,15,9,-57.492178183649365,-17.74172686136055
340,15,10,-56.593862899529846,-17.74172686136055
341,15,11,-55.69554761541032,-17.74172686136055
342,15,12,-54.7972323312908,-17.74172686136055
343,15,13,-53.89891704717128,-17.74172686136055
344,15,14,-53.00060176305176,-17.74172686136055
345,15,15,-52.102286478932236,-17.74172686136055
346,15,16,-51.203971194812716,-17.74172686136055
347,15,17,-50.30565591069319,-17.74172686136055
348,15,18,-49.40734062657367,-17.74172686136055
349,15,19,-48.50902534245415,-17.74172686136055
350,15,20,-47.61071005833463,-17.74172686136055
351,15,21,-46.71239477421511,-17.74172686136055
