patch_id,learned_neighbor_id,weight
153,163,0.00322075
153,183,0.0032156287
154,17,0.0035449346
154,19,0.0035395173
154,163,0.0033387684
155,187,0.0032685893
155,185,0.0032342873
155,152,0.0032105464
156,227,0.0033803429
156,136,0.0033032505
156,135,0.0032305194
157,209,0.0042007593
157,210,0.0037363055
157,129,0.0036481216
158,135,0.0031534543
158,145,0.003114867
158,178,0.003111986
159,75,0.0034902357
159,70,0.003406126
159,71,0.0033947849
160,102,0.0037252542
160,184,0.0036491705
160,98,0.0036488136
161,44,0.0039116084
161,118,0.003868717
161,75,0.0037202616
162,176,0.0034397896
162,39,0.0033058964
162,32,0.0032877699
163,146,0.0031331012
163,102,0.0031325384
163,0,0.0031251463
164,157,0.0034129068
164,83,0.003344709
164,82,0.003336077
165,152,0.004213438
165,18,0.0038273502
165,129,0.0038012527
166,145,0.0051900353
166,135,0.004314269
166,165,0.0041636983
167,187,0.003628617
167,156,0.0034973673
167,184,0.0034658576
168,187,0.0033123174
168,330,0.0032883857
168,60,0.0032021375
169,145,0.004500916
169,303,0.004212121
169,210,0.004140031
170,349,0.0033326827
170,175,0.0033281539
170,209,0.0032851829
171,118,0.0046499213
171,44,0.00396609
171,97,0.003945602
172,209,0.0038729885
172,122,0.0034660115
172,208,0.0034628497
173,163,0.003928567
173,152,0.0038870366
173,209,0.003862256
174,145,0.00359418
174,180,0.0035456
174,303,0.0035187174
175,180,0.0030915956
175,184,0.0030775524
175,81,0.0030599337
176,198,0.0036158606
176,163,0.0035971364
176,112,0.0035216077
177,220,0.003537036
177,199,0.0034731468
177,221,0.0034675186
178,118,0.003497777
178,98,0.0034900825
178,184,0.0034863448
179,134,0.0032949094
179,186,0.003284073
179,145,0.0032629971
180,145,0.0036693993
180,135,0.0036466392
180,165,0.0035221868
181,231,0.003817311
181,303,0.0036842548
181,145,0.003652329
182,19,0.0031731392
182,17,0.003163902
182,119,0.0031614085
183,102,0.0038430977
183,118,0.0038313325
183,44,0.0036317178
184,135,0.0035089944
184,145,0.0034937093
184,134,0.0034812253
185,141,0.003774428
185,145,0.0037642897
185,152,0.0036497647
186,209,0.0038914434
186,163,0.0038030704
186,208,0.0036322135
187,145,0.0041424227
187,135,0.004132959
187,134,0.00400054
188,145,0.004043226
188,135,0.003953569
188,328,0.0038694392
189,53,0.0032805079
189,305,0.0032535673
189,86,0.0032118466
190,141,0.0032193782
190,18,0.0032136128
190,53,0.0031970206
191,152,0.0042394353
191,145,0.0042343205
191,303,0.0041639158
192,135,0.0035528
192,185,0.0034526554
192,59,0.003346645
193,118,0.0039140163
193,75,0.0038689184
193,44,0.0036976405
194,152,0.003232144
194,163,0.0031676874
194,53,0.0031631216
195,145,0.004023636
195,135,0.0038213462
195,231,0.0037744613
196,145,0.0033523955
196,187,0.0033336414
196,135,0.0033268968
197,230,0.0033087332
197,189,0.0033036505
197,221,0.0032431495
198,220,0.0036201084
198,163,0.0036022495
198,123,0.0035698062
199,287,0.00357924
199,209,0.0035374989
199,112,0.0035341256
200,303,0.0031863246
200,152,0.0031563295
200,187,0.0031214089
201,17,0.0035191034
201,141,0.0034369556
201,39,0.003381887
202,209,0.0035103015
202,163,0.003329811
202,208,0.0032723418
203,209,0.004096907
203,122,0.0039918334
203,131,0.0039461153
204,145,0.0042115254
204,135,0.0039482
204,328,0.003795001
205,118,0.0037255783
205,75,0.0035083336
205,99,0.00343415
206,44,0.0034623987
206,70,0.0033765677
206,102,0.0033706597
207,32,0.0034143135
207,306,0.003395539
207,140,0.003365372
208,189,0.0033169417
208,102,0.0032372857
208,71,0.0032175414
209,135,0.0041900487
209,136,0.0038861178
209,162,0.0038086497
210,134,0.004681182
210,187,0.004214417
210,145,0.004078475
211,102,0.0031380283
211,103,0.0030707836
211,176,0.00304703
212,82,0.003290882
212,140,0.0032248925
212,287,0.003210728
213,303,0.0036624228
213,210,0.0036405376
213,187,0.0035847812
214,329,0.0038738942
214,209,0.0038606883
214,152,0.0037608363
215,118,0.004391711
215,75,0.0043574627
215,71,0.004154062
216,145,0.0033825724
216,241,0.00331418
216,135,0.0033112476
217,39,0.0035657564
217,17,0.0035451525
217,60,0.0034954164
218,209,0.004296347
218,129,0.0037791054
218,133,0.0037089845
219,152,0.0033575036
219,164,0.003314714
219,175,0.0032413227
220,118,0.004638088
220,44,0.0043222914
220,75,0.0042488202
221,118,0.0038866347
221,75,0.003719011
221,44,0.0036791153
222,102,0.004181263
222,118,0.0040049674
222,98,0.0038407838
223,75,0.004199882
223,44,0.004089657
223,118,0.004087788
224,118,0.0038005959
224,98,0.0036904456
224,75,0.0036757146
225,164,0.0032825572
225,163,0.003280054
225,184,0.00323685
226,136,0.0034673999
226,135,0.003454491
226,140,0.0034521006
227,118,0.0037958445
227,44,0.0037898703
227,102,0.003728455
228,118,0.004740193
228,102,0.0043883557
228,44,0.00415615
229,102,0.0034129473
229,118,0.0033973197
229,184,0.0033911483
230,102,0.0035151523
230,70,0.0032990982
230,119,0.0032849961
231,134,0.004241255
231,59,0.003833234
231,135,0.0038254906
232,142,0.0037319828
232,145,0.0036405488
232,284,0.0035871742
233,303,0.0041951947
233,304,0.0038796908
233,145,0.003857945
234,152,0.003850497
234,18,0.0037177089
234,329,0.0036997236
235,145,0.0051160147
235,165,0.0043376843
235,185,0.00426109
236,135,0.004420571
236,136,0.0040253275
236,134,0.003882337
237,329,0.0032519104
237,129,0.0032273463
237,157,0.0032216965
238,303,0.0042854035
238,145,0.0041784677
