patch_id,neighbor_id,attention_weight
182,181,0.29240522
182,183,0.2177215
182,204,0.2795366
183,161,0.26394218
183,182,0.19959246
183,184,0.24646609
183,205,0.28999925
184,162,0.23210411
184,183,0.24877504
184,185,0.26582542
184,206,0.25329548
185,163,0.23136583
185,184,0.22782631
185,186,0.27813938
185,207,0.26266852
186,164,0.23605864
186,185,0.21466798
186,187,0.32384658
186,208,0.2254268
187,165,0.21865591
187,186,0.22538082
187,188,0.36533487
187,209,0.19062838
188,166,0.24824506
188,187,0.21212453
188,189,0.3138697
188,210,0.22576071
189,167,0.279563
189,188,0.2298462
189,190,0.34515402
189,211,0.14543684
190,168,0.2519273
190,189,0.2852128
190,191,0.28911078
190,212,0.17374909
191,169,0.23757493
191,190,0.37908867
191,192,0.15090854
191,213,0.23242775
192,170,0.2913818
192,191,0.34843475
192,193,0.18434083
192,214,0.17584257
193,171,0.25859445
193,192,0.19525778
193,194,0.3634061
193,215,0.1827417
194,172,0.2957331
194,193,0.12325775
194,195,0.3161097
194,216,0.26489946
195,173,0.2919552
195,194,0.14927165
195,196,0.3330164
195,217,0.22575675
196,174,0.32441822
196,195,0.18593897
196,197,0.27384338
196,218,0.21579938
197,175,0.33468762
197,196,0.3891228
197,219,0.27618957
198,176,0.3329502
198,199,0.37490848
198,220,0.29214126
199,177,0.2385027
199,198,0.21510194
199,200,0.34906062
199,221,0.19733472
200,178,0.37351072
200,199,0.19491808
200,201,0.21126446
200,222,0.22030675
201,179,0.28304777
201,200,0.22185917
201,202,0.31665185
201,223,0.17844117
202,180,0.33783564
202,201,0.18440048
202,203,0.32348764
202,224,0.15427625
203,181,0.27120572
203,202,0.29662114
203,204,0.25855556
203,225,0.1736175
204,182,0.17436253
204,203,0.2921219
204,205,0.24992682
204,226,0.28358877
205,183,0.22452618
205,204,0.28219584
205,206,0.22398825
205,227,0.26928973
206,184,0.23913117
206,205,0.2829546
206,207,0.28061724
206,228,0.197297
207,185,0.2587637
207,206,0.24893244
207,208,0.27188635
207,229,0.22041747
208,186,0.2820579
208,207,0.26477802
208,209,0.23620899
208,230,0.21695508
209,187,0.3085308
209,208,0.2124813
209,210,0.3281305
209,231,0.15085733
210,188,0.3681611
210,209,0.1899783
210,211,0.2308587
210,232,0.2110019
211,189,0.32195157
211,210,0.22938398
211,212,0.19502848
211,233,0.25363597
212,190,0.382699
212,211,0.15926635
212,213,0.24175695
212,234,0.21627767
213,191,0.32966855
213,212,0.20060542
213,214,0.16571279
213,235,0.30401325
214,192,0.24130157
214,213,0.37267834
214,215,0.23052715
214,236,0.15549295
215,193,0.18373376
215,214,0.17984961
215,216,0.38813284
215,237,0.24828379
216,194,0.24142346
216,215,0.115916125
216,217,0.36189628
216,238,0.28076416
217,195,0.23206194
217,216,0.18915623
217,218,0.26730442
217,239,0.31147736
218,196,0.2992485
218,217,0.19984469
218,219,0.2032519
218,240,0.2976549
219,197,0.37725487
219,218,0.29695642
219,241,0.32578865
220,198,0.39004618
220,221,0.3470839
220,242,0.26286992
221,199,0.27322948
221,220,0.20994425
221,222,0.3107945
221,243,0.2060318
222,200,0.31568187
222,221,0.17661464
222,223,0.24865921
222,244,0.2590442
223,201,0.23294199
223,222,0.24198397
223,224,0.20061053
223,245,0.3244635
224,202,0.34341863
224,223,0.1930226
224,225,0.20440239
224,246,0.25915644
225,203,0.30004427
225,224,0.14438836
225,226,0.2924238
225,247,0.2631436
226,204,0.26572448
226,225,0.1799854
226,227,0.2528285
226,248,0.30146164
227,205,0.25783187
227,226,0.2938318
227,228,0.18272199
227,249,0.26561436
228,206,0.2587903
228,227,0.30779928
