patch_id,learned_neighbor_id,weight
283,13,0.0031393117
284,125,0.0031308767
284,302,0.0030918005
284,306,0.0030485424
285,44,0.0031363813
285,260,0.003105394
285,71,0.0030868684
286,246,0.0031287225
286,331,0.0030691153
286,150,0.003050644
287,70,0.003023748
287,68,0.003019411
287,125,0.0030121051
288,246,0.00302227
288,160,0.0030207252
288,81,0.0030206377
289,44,0.0029827883
289,70,0.0029449894
289,6,0.0029435812
290,44,0.003126288
290,90,0.0030608224
290,291,0.0030346063
291,206,0.0032200613
291,204,0.0031671233
291,183,0.0030770793
292,287,0.003086566
292,277,0.003064953
292,298,0.0030318012
293,94,0.003090269
293,249,0.0030825725
293,287,0.0030739706
294,282,0.0029963353
294,271,0.002959493
294,284,0.0029583278
295,90,0.0030537543
295,204,0.0029941897
295,222,0.0029898027
296,152,0.0029894025
296,183,0.0029717735
296,293,0.0029656475
297,39,0.0031116477
297,125,0.0030912007
297,86,0.003087925
298,226,0.003121457
298,315,0.0031055133
298,81,0.0030928068
299,135,0.0030860468
299,94,0.003035255
299,68,0.0030283823
300,212,0.003212237
300,277,0.0031812503
300,140,0.0031320697
301,295,0.0030755084
301,274,0.003061273
301,298,0.003055393
302,324,0.0031256415
302,303,0.0031254222
302,237,0.0030850945
303,37,0.0030239578
303,19,0.003008219
303,150,0.003004968
304,303,0.0031952548
304,295,0.0030387635
304,54,0.0030387242
305,52,0.002958804
305,247,0.0029497556
305,316,0.002943692
306,339,0.0030933756
306,274,0.0030044373
306,241,0.003003616
307,276,0.0029822954
307,117,0.0029766536
307,233,0.0029731593
308,306,0.00309823
308,145,0.003085235
308,331,0.0030527862
309,186,0.0029743111
309,317,0.0029654403
309,93,0.0029631355
310,287,0.0031733082
310,140,0.003156432
310,107,0.0031384816
311,315,0.0031081461
311,226,0.0030893702
311,342,0.0030828177
312,52,0.003045631
312,287,0.0030382427
312,54,0.0030342455
313,39,0.0029943064
313,304,0.0029819654
313,181,0.0029780644
314,303,0.0031859574
314,229,0.003168174
314,231,0.0030926613
315,135,0.0030590335
315,328,0.0030123687
315,83,0.002991163
316,182,0.0031578026
316,284,0.003106838
316,177,0.0030982022
317,90,0.0030907767
317,67,0.0030188286
317,204,0.003009255
318,339,0.0031759467
318,318,0.003117871
318,30,0.003104833
319,337,0.0030506982
319,59,0.0029804455
319,179,0.0029697365
320,117,0.0030347712
320,210,0.0030203091
320,135,0.0030169783
321,339,0.0030531767
321,330,0.0030397656
321,318,0.003038619
322,246,0.003077707
322,263,0.0029927169
322,10,0.00297417
323,212,0.003095744
323,161,0.0030641383
323,206,0.0030397468
324,212,0.002952593
324,172,0.0029393954
324,16,0.0029339115
325,292,0.0030130674
325,150,0.0030089703
325,291,0.0029705146
326,206,0.0032642214
326,140,0.0031582178
326,120,0.0031551248
327,339,0.003015729
327,312,0.003004797
327,30,0.0029733868
328,303,0.0031562645
328,321,0.0031148954
328,253,0.0030769333
329,312,0.0030847748
329,286,0.003082347
329,300,0.0030626147
330,287,0.0030469864
330,152,0.00304674
330,293,0.003042528
331,9,0.0030038685
331,246,0.0029726562
331,300,0.0029533706
332,206,0.003065868
332,98,0.0030607465
332,244,0.0030464178
333,235,0.0030254284
333,107,0.0030112944
333,310,0.00300916
334,189,0.0030943896
334,66,0.0030525832
334,184,0.0030393894
335,176,0.003050037
335,308,0.0030456432
335,32,0.0030394522
336,66,0.0031243938
336,190,0.0030639232
336,274,0.0030420069
337,69,0.0030695323
337,276,0.0030486658
337,68,0.0030377363
338,125,0.0030680464
338,282,0.0030401414
338,190,0.0030093777
339,235,0.0031081494
339,277,0.003086009
339,140,0.0030748243
340,291,0.0030532675
340,198,0.003022261
340,136,0.002990107
341,39,0.0029967115
341,14,0.002992656
341,78,0.002986859
342,25,0.0030290284
342,291,0.0030257837
342,32,0.0030139303
343,206,0.0030978655
343,277,0.0030788737
343,204,0.0030769033
344,160,0.0030293432
344,118,0.0030225744
344,247,0.0030045228
345,69,0.0030927174
345,290,0.0030819608
345,90,0.0030811268
346,10,0.0030907604
346,231,0.003058302
346,192,0.0030380904
347,32,0.0030525408
347,18,0.0030373938
347,287,0.0030036136
348,125,0.0031136808
348,34,0.0030670357
348,339,0.003058997
349,181,0.0030509993
349,14,0.003036084
349,192,0.0030070068
350,150,0.0031783793
350,206,0.00312992
350,204,0.003085412
351,52,0.0030799818
351,289,0.0030722166
351,319,0.0029889797
