patch_id,kendall_tau,p_value
183,-0.5322396901344271,1.0139640625519238e-19
184,-0.25518341307814996,1.3186162131632559e-05
185,-0.41079972658920033,2.3163198048024812e-12
186,-0.23308270676691734,6.901794147894567e-05
187,-0.006151742993848258,0.9163483163097721
188,-0.14627477785372525,0.012507581675189564
189,-0.1877420824789246,0.0013482719209965675
190,0.26771474139895196,4.85512942653485e-06
191,0.32581453634085217,2.6525779828069873e-08
192,-0.203235361130098,0.0005203934000682467
193,-0.14809751651856917,0.011451458370763563
194,-0.24675324675324678,2.5193811828095624e-05
195,0.3096377306903623,1.2451276114322033e-07
196,0.08179539758487128,0.16254237835999352
197,0.31328320802005016,8.844805987669034e-08
198,-0.5901116427432217,7.086624586974243e-24
199,-0.5768967874231032,6.860142242120231e-23
200,-0.6215538847117795,2.609876441928709e-26
201,-0.5313283208020051,1.1697941448483273e-19
202,-0.4750512645249488,5.020119293752506e-16
203,-0.26520847573479156,5.9499426061379564e-06
204,-0.23422191843244478,6.358463519289242e-05
205,-0.2280701754385965,9.857931867160899e-05
206,-0.49601275917065396,2.4771123799986604e-17
207,-0.3533834586466166,1.6029015458394623e-09
208,-0.10776942355889726,0.06576068979556801
209,-0.14718614718614723,0.011969196672344374
210,-0.12485759854180908,0.03302211394453604
211,-0.12554112554112556,0.03207418739957406
212,-0.12554112554112556,0.03207418739957406
213,0.023012075643654595,0.6943878877816894
214,-0.177261335156072,0.0024735871016348518
215,0.17885623148781046,0.0022597388180537106
216,-0.3440419229892915,4.249930206644635e-09
217,-0.407382091592618,3.5099556051398665e-12
218,-0.3479152426520848,2.8451341328601983e-09
219,-0.4771018455228982,3.7609667299339813e-16
220,-0.557758031442242,1.6802160509113233e-21
221,-0.4807473228525861,2.2441092769524595e-16
222,-0.5046707678286626,6.889258614601283e-18
223,-0.3021189336978811,2.491113346826895e-07
224,-0.49555707450444303,2.6481183641468286e-17
225,-0.2939166097060834,5.212474945673832e-07
226,-0.14399635452267032,0.013948428510582452
227,-0.1166552745500114,0.04639650521711254
228,-0.15584415584415587,0.007793725379604684
229,-0.06949191159717476,0.23542391649651484
230,-0.139211665527455,0.017459049444751032
231,0.0015948963317384372,0.9782753270834379
232,0.025746183640920486,0.6602344836941545
233,0.07496012759170655,0.20059204669916175
234,-0.004101161995898838,0.9441752751301222
235,-0.24834814308498523,2.232335737702451e-05
236,-0.1950330371383003,0.000868499352888436
237,-0.17931191615402145,0.002201828446478714
238,-0.3196627933470039,4.8176771929228414e-08
239,-0.47095010252904995,8.911861085676924e-16
240,-0.292321713374345,6.003925564149643e-07
241,-0.24265208475734795,3.427421486316215e-05
242,-0.3720665299612669,2.1163541560103833e-10
243,-0.38983823194349515,2.8121862937404925e-11
244,-0.04807473228525861,0.41174520619055
245,-0.2180451127819549,0.00019695166462814067
246,-0.0658464342674869,0.2609028517521321
247,0.10845295055821373,0.0640657635927054
248,-0.02210070631123263,0.705915974721699
249,0.0036454773296878563,0.9503695158079606
250,0.15379357484620645,0.0086428789336461
251,0.027341079972658923,0.6406281975079432
