patch_id,neighbor_id,attention_weight
172,173,0.2631579
172,194,0.15789473
173,151,0.2631579
173,172,0.2631579
173,174,0.21052632
173,195,0.2631579
174,152,0.36842105
174,173,0.15789473
174,175,0.10526316
174,196,0.36842105
175,153,0.2631579
175,174,0.31578946
175,197,0.42105263
176,154,0.21052632
176,177,0.2631579
176,198,0.5263158
177,155,0.15789473
177,176,0.21052632
177,178,0.21052632
177,199,0.42105263
178,156,0.21052632
178,177,0.21052632
178,179,0.2631579
178,200,0.31578946
179,157,0.2631579
179,178,0.10526316
179,180,0.31578946
179,201,0.31578946
180,158,0.15789473
180,179,0.21052632
180,181,0.31578946
180,202,0.31578946
181,159,0.15789473
181,180,0.36842105
181,182,0.21052632
181,203,0.2631579
182,160,0.36842105
182,181,0.2631579
182,183,0.2631579
182,204,0.10526316
183,161,0.36842105
183,182,0.2631579
183,184,0.2631579
183,205,0.10526316
184,162,0.36842105
184,183,0.31578946
184,185,0.21052632
184,206,0.10526316
185,163,0.47368422
185,184,0.21052632
185,186,0.15789473
185,207,0.15789473
186,164,0.31578946
186,185,0.10526316
186,187,0.31578946
186,208,0.2631579
187,165,0.31578946
187,186,0.10526316
187,188,0.47368422
187,209,0.10526316
188,166,0.2631579
188,187,0.10526316
188,189,0.42105263
188,210,0.21052632
189,167,0.42105263
189,188,0.05263158
189,190,0.36842105
189,211,0.15789473
190,168,0.47368422
190,189,0.10526316
190,191,0.2631579
190,212,0.15789473
191,169,0.31578946
191,190,0.36842105
191,192,0.21052632
191,213,0.10526316
192,170,0.31578946
192,191,0.2631579
192,193,0.10526316
192,214,0.31578946
193,171,0.36842105
193,192,0.15789473
193,194,0.15789473
193,215,0.31578946
194,172,0.2631579
194,193,0.31578946
194,195,0.2631579
194,216,0.15789473
195,173,0.21052632
195,194,0.21052632
195,196,0.2631579
195,217,0.31578946
196,174,0.2631579
196,195,0.2631579
196,197,0.21052632
196,218,0.2631579
197,175,0.31578946
197,196,0.31578946
197,219,0.36842105
198,176,0.21052632
198,199,0.47368422
198,220,0.31578946
199,177,0.21052632
199,198,0.10526316
199,200,0.36842105
199,221,0.31578946
200,178,0.21052632
200,199,0.2631579
200,201,0.21052632
200,222,0.31578946
201,179,0.21052632
201,200,0.31578946
201,202,0.15789473
201,223,0.31578946
202,180,0.36842105
202,201,0.10526316
202,203,0.10526316
202,224,0.42105263
203,181,0.31578946
203,202,0.31578946
203,204,0.2631579
203,225,0.10526316
204,182,0.2631579
204,203,0.36842105
204,205,0.15789473
204,226,0.21052632
205,183,0.31578946
205,204,0.2631579
205,206,0.15789473
205,227,0.2631579
206,184,0.36842105
206,205,0.2631579
206,207,0.2631579
206,228,0.10526316
207,185,0.31578946
207,206,0.21052632
207,208,0.2631579
207,229,0.21052632
208,186,0.21052632
208,207,0.05263158
208,209,0.5263158
208,230,0.21052632
209,187,0.31578946
209,208,0.21052632
209,210,0.2631579
209,231,0.21052632
210,188,0.42105263
210,209,0.15789473
210,211,0.31578946
210,232,0.10526316
211,189,0.42105263
211,210,0.15789473
211,212,0.21052632
211,233,0.21052632
212,190,0.47368422
212,211,0.10526316
212,213,0.21052632
212,234,0.21052632
213,191,0.2631579
213,212,0.21052632
213,214,0.31578946
213,235,0.21052632
214,192,0.2631579
214,213,0.21052632
214,215,0.15789473
214,236,0.36842105
215,193,0.15789473
215,214,0.36842105
215,216,0.10526316
215,237,0.36842105
216,194,0.36842105
216,215,0.15789473
216,217,0.05263158
216,238,0.42105263
217,195,0.42105263
217,216,0.10526316
217,218,0.05263158
217,239,0.42105263
218,196,0.42105263
218,217,0.21052632
218,219,0.15789473
218,240,0.21052632
219,197,0.47368422
219,218,0.21052632
219,241,0.31578946
220,198,0.31578946
220,221,0.47368422
220,242,0.21052632
221,199,0.36842105
221,220,0.15789473
221,222,0.2631579
221,243,0.21052632
222,200,0.31578946
222,221,0.21052632
222,223,0.2631579
222,244,0.21052632
223,201,0.31578946
223,222,0.21052632
223,224,0.10526316
223,245,0.36842105
224,202,0.2631579
224,223,0.21052632
224,225,0.21052632
224,246,0.31578946
225,203,0.31578946
225,224,0.42105263
225,226,0.10526316
225,247,0.15789473
226,204,0.36842105
226,225,0.31578946
226,227,0.15789473
226,248,0.15789473
227,205,0.42105263
227,226,0.36842105
227,228,0.05263158
227,249,0.15789473
228,206,0.36842105
228,227,0.2631579
228,229,0.21052632
228,250,0.15789473
229,207,0.42105263
