patch_id,kendall_tau,p_value,row,col,lon,lat,local_morans_i,cluster_type
113,0.012531328320802,0.8305786662938774,5,3,-62.882069888366495,-8.758574020165334,0.05386141315195807,LL
114,-0.5894281157439053,7.979414457063325e-24,5,4,-61.983754604246975,-8.758574020165334,0.1481036904843928,LL
115,-0.0669856459330143,0.2527436749301667,5,5,-61.08543932012745,-8.758574020165334,0.00027532374552344236,LL
116,0.3711551606288449,2.341446588100738e-10,5,6,-60.18712403600793,-8.758574020165334,0.4089380085986722,HH
117,0.3852813852813853,4.759180224709168e-11,5,7,-59.28880875188841,-8.758574020165334,0.5678284193714546,HH
118,0.6033264980633403,6.960528369683694e-25,5,8,-58.39049346776888,-8.758574020165334,1.0066508387290456,HH
119,0.6821599453178402,2.371911097884603e-31,5,9,-57.492178183649365,-8.758574020165334,1.2936580885865052,HH
120,0.531784005468216,1.0891281895074542e-19,5,10,-56.593862899529846,-8.758574020165334,0.8436531865170367,HH
121,0.6805650489861017,3.263496663097259e-31,5,11,-55.69554761541032,-8.758574020165334,0.6924581207865625,HH
122,0.494645705172021,3.0258187549094725e-17,5,12,-54.7972323312908,-8.758574020165334,1.02271842077744,HH
123,0.6224652540442015,2.209144690574244e-26,5,13,-53.89891704717128,-8.758574020165334,1.287509536732936,HH
124,0.622693096377307,2.1188924935319936e-26,5,14,-53.00060176305176,-8.758574020165334,0.7956320982603797,HH
125,-0.0405559352927774,0.488654375534723,5,15,-52.10228647893224,-8.758574020165334,-0.00018851849777674234,LH
126,-0.442241968557758,4.3251273288532316e-14,5,16,-51.20397119481272,-8.758574020165334,0.8897580901311658,LL
127,-0.3994076099339258,9.137589796532233e-12,5,17,-50.30565591069319,-8.758574020165334,1.0477132773814553,LL
128,-0.5023923444976077,9.668009854077346e-18,5,18,-49.40734062657367,-8.758574020165334,1.7443719486914069,LL
129,-0.4916837548416496,4.659282382980649e-17,5,19,-48.50902534245415,-8.758574020165334,1.5463489395603358,LL
130,-0.3590795169742539,8.737713739978083e-10,5,20,-47.61071005833463,-8.758574020165334,1.375116205903861,LL
131,-0.4483937115516063,1.9202473020622436e-14,5,21,-46.71239477421511,-8.758574020165334,1.5794192904180977,LL
132,0.3953064479380269,1.4840804883785987e-11,6,0,-65.57701574072506,-9.656889304284856,0.8776610978995527,HH
133,0.5295055821371611,1.5558628581205461e-19,6,1,-64.67870045660554,-9.656889304284856,0.4373645080152619,HH
134,0.1982228298017772,0.0007132107457718,6,2,-63.780385172486014,-9.656889304284856,-0.0041881213697937646,HL
135,0.2330827067669173,6.901794147894567e-05,6,3,-62.882069888366495,-9.656889304284856,-0.03843028078072729,HL
136,-0.0223285486443381,0.7030274948076874,6,4,-61.983754604246975,-9.656889304284856,0.09865623100717909,LL
137,0.3467760309865573,3.2029754412911222e-09,6,5,-61.08543932012745,-9.656889304284856,0.10704822315303286,HH
138,0.367509683299157,3.4997686721067576e-10,6,6,-60.18712403600793,-9.656889304284856,0.4102933340036179,HH
139,-0.1326042378673957,0.0235691842561885,6,7,-59.28880875188841,-9.656889304284856,-0.11907719791953708,LH
140,-0.2383230804283436,4.719103175969683e-05,6,8,-58.39049346776888,-9.656889304284856,0.05857862889099383,LL
141,-0.1203007518796992,0.0399746389057733,6,9,-57.492178183649365,-9.656889304284856,-0.009175030901559128,LH
142,-0.0230120756436545,0.6943878877816894,6,10,-56.593862899529846,-9.656889304284856,0.10661051500877802,LL
143,-0.4292549555707451,2.317306491990573e-13,6,11,-55.69554761541032,-9.656889304284856,-0.07170760066929827,LH
144,0.0779220779220779,0.1833737168403049,6,12,-54.7972323312908,-9.656889304284856,-0.000842142507866804,HL
145,0.2768284347231716,2.283563256023982e-06,6,13,-53.89891704717128,-9.656889304284856,0.090904660890403,HH
146,0.2476646160856687,2.3513213444107617e-05,6,14,-53.00060176305176,-9.656889304284856,-0.02229910715047093,HL
147,-0.4613807245386193,3.3373297861133397e-15,6,15,-52.10228647893224,-9.656889304284856,0.5144399486195672,LL
148,-0.5420369104579631,2.1479370558492696e-20,6,16,-51.20397119481272,-9.656889304284856,0.49958488140652524,LL
149,0.0396445659603554,0.4984757820996481,6,17,-50.30565591069319,-9.656889304284856,0.08026549047403143,LL
150,-0.367965367965368,3.328970443643773e-10,6,18,-49.40734062657367,-9.656889304284856,0.7991161609123171,LL
151,-0.4107997265892003,2.316319804802481e-12,6,19,-48.50902534245415,-9.656889304284856,1.4545188759135586,LL
152,-0.430622009569378,1.9464231618742235e-13,6,20,-47.61071005833463,-9.656889304284856,1.5835496874377286,LL
153,-0.521531100478469,5.35769726779362e-19,6,21,-46.71239477421511,-9.656889304284856,1.8871794943706819,LL
